"Anno di Interesse";"Territorio";"Tipo Misura";"Importo"
"2023";"PIEMONTE";"Spesa Complessiva - in rapporto al PIL (%)";"21.24"
"2023";"PIEMONTE";"Spesa Complessiva - per abitante (Euro)";"7803.40"
"2023";"PIEMONTE";"Spesa Complessiva - per Kmq (Euro)";"1306529.36"
"2023";"PIEMONTE";"Spesa Complessiva - Valori Assoluti (mln)";"33176.05"
"2023";"PUGLIA";"Spesa Complessiva - in rapporto al PIL (%)";"26.60"
"2023";"PUGLIA";"Spesa Complessiva - per abitante (Euro)";"6282.01"
"2023";"PUGLIA";"Spesa Complessiva - per Kmq (Euro)";"1253436.44"
"2023";"PUGLIA";"Spesa Complessiva - Valori Assoluti (mln)";"24494.65"
"2023";"SARDEGNA";"Spesa Complessiva - in rapporto al PIL (%)";"26.36"
"2023";"SARDEGNA";"Spesa Complessiva - per abitante (Euro)";"6957.25"
"2023";"SARDEGNA";"Spesa Complessiva - per Kmq (Euro)";"454446.51"
"2023";"SARDEGNA";"Spesa Complessiva - Valori Assoluti (mln)";"10952.80"
"2023";"SICILIA";"Spesa Complessiva - in rapporto al PIL (%)";"24.66"
"2023";"SICILIA";"Spesa Complessiva - per abitante (Euro)";"5638.70"
"2023";"SICILIA";"Spesa Complessiva - per Kmq (Euro)";"1048908.47"
"2023";"SICILIA";"Spesa Complessiva - Valori Assoluti (mln)";"27097.82"
"2023";"SUD";"Spesa Complessiva - in rapporto al PIL (%)";"25.07"
"2023";"SUD";"Spesa Complessiva - per abitante (Euro)";"6039.74"
"2023";"SUD";"Spesa Complessiva - per Kmq (Euro)";"1099831.22"
"2023";"SUD";"Spesa Complessiva - Valori Assoluti (mln)";"81173.59"
"2023";"TOSCANA";"Spesa Complessiva - in rapporto al PIL (%)";"19.57"
"2023";"TOSCANA";"Spesa Complessiva - per abitante (Euro)";"7390.83"
"2023";"TOSCANA";"Spesa Complessiva - per Kmq (Euro)";"1177118.89"
"2023";"TOSCANA";"Spesa Complessiva - Valori Assoluti (mln)";"27059.73"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - in rapporto al PIL (%)";"13.03"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - per abitante (Euro)";"6933.11"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - per Kmq (Euro)";"550304.49"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - Valori Assoluti (mln)";"7487.22"
"2023";"UMBRIA";"Spesa Complessiva - in rapporto al PIL (%)";"25.54"
"2023";"UMBRIA";"Spesa Complessiva - per abitante (Euro)";"7827.08"
"2023";"UMBRIA";"Spesa Complessiva - per Kmq (Euro)";"790362.83"
"2023";"UMBRIA";"Spesa Complessiva - Valori Assoluti (mln)";"6690.11"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - in rapporto al PIL (%)";"16.91"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - per abitante (Euro)";"7914.83"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - per Kmq (Euro)";"298517.58"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - Valori Assoluti (mln)";"973.56"
"2023";"VENETO";"Spesa Complessiva - in rapporto al PIL (%)";"17.12"
"2023";"VENETO";"Spesa Complessiva - per abitante (Euro)";"6951.13"
"2023";"VENETO";"Spesa Complessiva - per Kmq (Euro)";"1837754.13"
"2023";"VENETO";"Spesa Complessiva - Valori Assoluti (mln)";"33719.11"
