"regione","capoluogo","reato","totale_delitti"
"Piemonte","Alessandria","01.0 ATTENTATI","2"
"Piemonte","Alessandria","02.0 STRAGE","0"
"Piemonte","Alessandria","03.0 OMICIDI VOLONTARI CONSUMATI","1"
"Piemonte","Alessandria","04.0 INFANTICIDI","0"
"Piemonte","Alessandria","05.0 TENTATI OMICIDI","5"
"Piemonte","Alessandria","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Alessandria","07.0 OMICIDI COLPOSI","0"
"Piemonte","Alessandria","08.0 LESIONI DOLOSE","124"
"Piemonte","Alessandria","09.0 PERCOSSE","22"
"Piemonte","Alessandria","10.0 MINACCE","128"
"Piemonte","Alessandria","11.0 INGIURIE","0"
"Piemonte","Alessandria","12.0 VIOLENZE SESSUALI","7"
"Piemonte","Alessandria","13.0 ATTI SESSUALI CON MINORENNE","3"
"Piemonte","Alessandria","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Alessandria","15.0 FURTI","1850"
"Piemonte","Alessandria","16.0 RICETTAZIONE","41"
"Piemonte","Alessandria","17.0 RAPINE","49"
"Piemonte","Alessandria","18.0 ESTORSIONI","27"
"Piemonte","Alessandria","19.0 USURA","0"
"Piemonte","Alessandria","20.0 SEQUESTRI DI PERSONA","3"
"Piemonte","Alessandria","21.0 ASSOCIAZIONE PER DELINQUERE","0"
"Piemonte","Alessandria","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Alessandria","23.0 RICICLAGGIO E IMPIEGO DI DENARO","3"
"Piemonte","Alessandria","24.0 TRUFFE E FRODI INFORMATICHE","460"
"Piemonte","Alessandria","25.0 INCENDI","3"
"Piemonte","Alessandria","26.0 DANNEGGIAMENTI","715"
"Piemonte","Alessandria","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","6"
"Piemonte","Alessandria","28.0 CONTRABBANDO","0"
"Piemonte","Alessandria","29.0 STUPEFACENTI","69"
"Piemonte","Alessandria","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","3"
"Piemonte","Alessandria","31.0 DELITTI INFORMATICI","134"
"Piemonte","Alessandria","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","8"
"Piemonte","Alessandria","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Alessandria","34.0 ALTRI DELITTI","807"
"Piemonte","Asti","01.0 ATTENTATI","0"
"Piemonte","Asti","02.0 STRAGE","0"
"Piemonte","Asti","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Piemonte","Asti","04.0 INFANTICIDI","0"
"Piemonte","Asti","05.0 TENTATI OMICIDI","1"
"Piemonte","Asti","06.0 OMICIDIO PRETERINTENZIONALE","1"
"Piemonte","Asti","07.0 OMICIDI COLPOSI","5"
"Piemonte","Asti","08.0 LESIONI DOLOSE","119"
"Piemonte","Asti","09.0 PERCOSSE","18"
"Piemonte","Asti","10.0 MINACCE","122"
"Piemonte","Asti","11.0 INGIURIE","0"
"Piemonte","Asti","12.0 VIOLENZE SESSUALI","11"
"Piemonte","Asti","13.0 ATTI SESSUALI CON MINORENNE","1"
"Piemonte","Asti","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Asti","15.0 FURTI","1712"
"Piemonte","Asti","16.0 RICETTAZIONE","37"
"Piemonte","Asti","17.0 RAPINE","47"
"Piemonte","Asti","18.0 ESTORSIONI","34"
"Piemonte","Asti","19.0 USURA","0"
"Piemonte","Asti","20.0 SEQUESTRI DI PERSONA","1"
"Piemonte","Asti","21.0 ASSOCIAZIONE PER DELINQUERE","0"
"Piemonte","Asti","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Asti","23.0 RICICLAGGIO E IMPIEGO DI DENARO","2"
"Piemonte","Asti","24.0 TRUFFE E FRODI INFORMATICHE","304"
"Piemonte","Asti","25.0 INCENDI","4"
"Piemonte","Asti","26.0 DANNEGGIAMENTI","880"
"Piemonte","Asti","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","7"
"Piemonte","Asti","28.0 CONTRABBANDO","0"
"Piemonte","Asti","29.0 STUPEFACENTI","38"
"Piemonte","Asti","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","7"
"Piemonte","Asti","31.0 DELITTI INFORMATICI","43"
"Piemonte","Asti","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","4"
"Piemonte","Asti","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Asti","34.0 ALTRI DELITTI","595"
"Piemonte","Biella","01.0 ATTENTATI","0"
"Piemonte","Biella","02.0 STRAGE","0"
"Piemonte","Biella","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Piemonte","Biella","04.0 INFANTICIDI","0"
"Piemonte","Biella","05.0 TENTATI OMICIDI","1"
"Piemonte","Biella","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Biella","07.0 OMICIDI COLPOSI","3"
"Piemonte","Biella","08.0 LESIONI DOLOSE","89"
"Piemonte","Biella","09.0 PERCOSSE","29"
"Piemonte","Biella","10.0 MINACCE","102"
"Piemonte","Biella","11.0 INGIURIE","0"
"Piemonte","Biella","12.0 VIOLENZE SESSUALI","11"
"Piemonte","Biella","13.0 ATTI SESSUALI CON MINORENNE","0"
"Piemonte","Biella","14.0 CORRUZIONE DI MINORENNE","1"
"Piemonte","Biella","15.0 FURTI","795"
"Emilia Romagna","Parma","19.0 USURA","2"
"Piemonte","Biella","16.0 RICETTAZIONE","32"
"Piemonte","Biella","17.0 RAPINE","19"
"Piemonte","Biella","18.0 ESTORSIONI","9"
"Piemonte","Biella","19.0 USURA","0"
"Piemonte","Biella","20.0 SEQUESTRI DI PERSONA","1"
"Piemonte","Biella","21.0 ASSOCIAZIONE PER DELINQUERE","4"
"Piemonte","Biella","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Biella","23.0 RICICLAGGIO E IMPIEGO DI DENARO","0"
"Piemonte","Biella","24.0 TRUFFE E FRODI INFORMATICHE","255"
"Piemonte","Biella","25.0 INCENDI","5"
"Piemonte","Biella","26.0 DANNEGGIAMENTI","441"
"Piemonte","Biella","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","0"
"Piemonte","Biella","28.0 CONTRABBANDO","0"
"Piemonte","Biella","29.0 STUPEFACENTI","54"
"Piemonte","Biella","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","4"
"Piemonte","Biella","31.0 DELITTI INFORMATICI","10"
"Piemonte","Biella","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","2"
"Piemonte","Biella","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Biella","34.0 ALTRI DELITTI","590"
"Piemonte","Cuneo","01.0 ATTENTATI","0"
"Piemonte","Cuneo","02.0 STRAGE","0"
"Piemonte","Cuneo","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Piemonte","Cuneo","04.0 INFANTICIDI","0"
"Piemonte","Cuneo","05.0 TENTATI OMICIDI","1"
"Piemonte","Cuneo","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Cuneo","07.0 OMICIDI COLPOSI","0"
"Piemonte","Cuneo","08.0 LESIONI DOLOSE","62"
"Piemonte","Cuneo","09.0 PERCOSSE","9"
"Piemonte","Cuneo","10.0 MINACCE","49"
"Piemonte","Cuneo","11.0 INGIURIE","0"
"Piemonte","Cuneo","12.0 VIOLENZE SESSUALI","8"
"Piemonte","Cuneo","13.0 ATTI SESSUALI CON MINORENNE","0"
"Piemonte","Cuneo","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Cuneo","15.0 FURTI","1009"
"Piemonte","Cuneo","16.0 RICETTAZIONE","6"
"Piemonte","Cuneo","17.0 RAPINE","17"
"Piemonte","Cuneo","18.0 ESTORSIONI","9"
"Piemonte","Cuneo","19.0 USURA","0"
"Piemonte","Cuneo","20.0 SEQUESTRI DI PERSONA","1"
"Piemonte","Cuneo","21.0 ASSOCIAZIONE PER DELINQUERE","0"
"Piemonte","Cuneo","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Cuneo","23.0 RICICLAGGIO E IMPIEGO DI DENARO","3"
"Piemonte","Cuneo","24.0 TRUFFE E FRODI INFORMATICHE","188"
"Piemonte","Cuneo","25.0 INCENDI","4"
"Piemonte","Cuneo","26.0 DANNEGGIAMENTI","329"
"Piemonte","Cuneo","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","4"
"Piemonte","Cuneo","28.0 CONTRABBANDO","0"
"Piemonte","Cuneo","29.0 STUPEFACENTI","21"
"Piemonte","Cuneo","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","6"
"Piemonte","Cuneo","31.0 DELITTI INFORMATICI","26"
"Piemonte","Cuneo","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","0"
"Piemonte","Cuneo","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Cuneo","34.0 ALTRI DELITTI","503"
"Piemonte","Novara","01.0 ATTENTATI","1"
"Piemonte","Novara","02.0 STRAGE","0"
"Piemonte","Novara","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Piemonte","Novara","04.0 INFANTICIDI","0"
"Piemonte","Novara","05.0 TENTATI OMICIDI","0"
"Piemonte","Novara","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Novara","07.0 OMICIDI COLPOSI","4"
"Piemonte","Novara","08.0 LESIONI DOLOSE","158"
"Piemonte","Novara","09.0 PERCOSSE","53"
"Piemonte","Novara","10.0 MINACCE","201"
"Piemonte","Novara","11.0 INGIURIE","0"
"Piemonte","Novara","12.0 VIOLENZE SESSUALI","12"
"Piemonte","Novara","13.0 ATTI SESSUALI CON MINORENNE","0"
"Piemonte","Novara","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Novara","15.0 FURTI","2071"
"Piemonte","Novara","16.0 RICETTAZIONE","27"
"Piemonte","Novara","17.0 RAPINE","57"
"Piemonte","Novara","18.0 ESTORSIONI","68"
"Piemonte","Novara","19.0 USURA","3"
"Piemonte","Novara","20.0 SEQUESTRI DI PERSONA","1"
"Piemonte","Novara","21.0 ASSOCIAZIONE PER DELINQUERE","0"
"Piemonte","Novara","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Novara","23.0 RICICLAGGIO E IMPIEGO DI DENARO","1"
"Toscana","Pistoia","10.0 MINACCE","129"
"Piemonte","Novara","24.0 TRUFFE E FRODI INFORMATICHE","604"
"Piemonte","Novara","25.0 INCENDI","3"
"Piemonte","Novara","26.0 DANNEGGIAMENTI","683"
"Piemonte","Novara","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","9"
"Piemonte","Novara","28.0 CONTRABBANDO","0"
"Piemonte","Novara","29.0 STUPEFACENTI","75"
"Piemonte","Novara","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","3"
"Piemonte","Novara","31.0 DELITTI INFORMATICI","19"
"Piemonte","Novara","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","1"
"Piemonte","Novara","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Novara","34.0 ALTRI DELITTI","960"
"Piemonte","Torino","01.0 ATTENTATI","2"
"Piemonte","Torino","02.0 STRAGE","0"
"Piemonte","Torino","03.0 OMICIDI VOLONTARI CONSUMATI","3"
"Piemonte","Torino","04.0 INFANTICIDI","0"
"Piemonte","Torino","05.0 TENTATI OMICIDI","31"
"Piemonte","Torino","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Torino","07.0 OMICIDI COLPOSI","8"
"Piemonte","Torino","08.0 LESIONI DOLOSE","1404"
"Piemonte","Torino","09.0 PERCOSSE","190"
"Piemonte","Torino","10.0 MINACCE","1219"
"Piemonte","Torino","11.0 INGIURIE","0"
"Piemonte","Torino","12.0 VIOLENZE SESSUALI","130"
"Piemonte","Torino","13.0 ATTI SESSUALI CON MINORENNE","10"
"Piemonte","Torino","14.0 CORRUZIONE DI MINORENNE","4"
"Piemonte","Torino","15.0 FURTI","34989"
"Piemonte","Torino","16.0 RICETTAZIONE","454"
"Piemonte","Torino","17.0 RAPINE","1465"
"Piemonte","Torino","18.0 ESTORSIONI","236"
"Piemonte","Torino","19.0 USURA","4"
"Piemonte","Torino","20.0 SEQUESTRI DI PERSONA","25"
"Piemonte","Torino","21.0 ASSOCIAZIONE PER DELINQUERE","7"
"Piemonte","Torino","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Torino","23.0 RICICLAGGIO E IMPIEGO DI DENARO","20"
"Piemonte","Torino","24.0 TRUFFE E FRODI INFORMATICHE","4813"
"Piemonte","Torino","25.0 INCENDI","17"
"Piemonte","Torino","26.0 DANNEGGIAMENTI","13368"
"Piemonte","Torino","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","106"
"Piemonte","Torino","28.0 CONTRABBANDO","0"
"Piemonte","Torino","29.0 STUPEFACENTI","1513"
"Piemonte","Torino","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","39"
"Toscana","Pistoia","11.0 INGIURIE","0"
"Piemonte","Torino","31.0 DELITTI INFORMATICI","303"
"Piemonte","Torino","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","146"
"Piemonte","Torino","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","2"
"Piemonte","Torino","34.0 ALTRI DELITTI","9047"
"Piemonte","Verbania","01.0 ATTENTATI","0"
"Piemonte","Verbania","02.0 STRAGE","0"
"Piemonte","Verbania","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Piemonte","Verbania","04.0 INFANTICIDI","0"
"Piemonte","Verbania","05.0 TENTATI OMICIDI","0"
"Piemonte","Verbania","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Verbania","07.0 OMICIDI COLPOSI","1"
"Piemonte","Verbania","08.0 LESIONI DOLOSE","51"
"Piemonte","Verbania","09.0 PERCOSSE","14"
"Piemonte","Verbania","10.0 MINACCE","51"
"Piemonte","Verbania","11.0 INGIURIE","0"
"Piemonte","Verbania","12.0 VIOLENZE SESSUALI","4"
"Piemonte","Verbania","13.0 ATTI SESSUALI CON MINORENNE","2"
"Piemonte","Verbania","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Verbania","15.0 FURTI","331"
"Piemonte","Verbania","16.0 RICETTAZIONE","8"
"Piemonte","Verbania","17.0 RAPINE","9"
"Piemonte","Verbania","18.0 ESTORSIONI","18"
"Piemonte","Verbania","19.0 USURA","0"
"Piemonte","Verbania","20.0 SEQUESTRI DI PERSONA","1"
"Piemonte","Verbania","21.0 ASSOCIAZIONE PER DELINQUERE","1"
"Piemonte","Verbania","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Verbania","23.0 RICICLAGGIO E IMPIEGO DI DENARO","0"
"Piemonte","Verbania","24.0 TRUFFE E FRODI INFORMATICHE","167"
"Piemonte","Verbania","25.0 INCENDI","1"
"Piemonte","Verbania","26.0 DANNEGGIAMENTI","117"
"Piemonte","Verbania","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","0"
"Piemonte","Verbania","28.0 CONTRABBANDO","0"
"Piemonte","Verbania","29.0 STUPEFACENTI","24"
"Piemonte","Verbania","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","0"
"Piemonte","Verbania","31.0 DELITTI INFORMATICI","34"
"Piemonte","Verbania","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","0"
"Piemonte","Verbania","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Verbania","34.0 ALTRI DELITTI","358"
"Piemonte","Vercelli","01.0 ATTENTATI","0"
"Piemonte","Vercelli","02.0 STRAGE","0"
"Piemonte","Vercelli","03.0 OMICIDI VOLONTARI CONSUMATI","2"
"Piemonte","Vercelli","04.0 INFANTICIDI","0"
"Piemonte","Vercelli","05.0 TENTATI OMICIDI","0"
"Piemonte","Vercelli","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Piemonte","Vercelli","07.0 OMICIDI COLPOSI","1"
"Piemonte","Vercelli","08.0 LESIONI DOLOSE","106"
"Piemonte","Vercelli","09.0 PERCOSSE","11"
"Piemonte","Vercelli","10.0 MINACCE","106"
"Piemonte","Vercelli","11.0 INGIURIE","0"
"Piemonte","Vercelli","12.0 VIOLENZE SESSUALI","7"
"Piemonte","Vercelli","13.0 ATTI SESSUALI CON MINORENNE","0"
"Piemonte","Vercelli","14.0 CORRUZIONE DI MINORENNE","0"
"Piemonte","Vercelli","15.0 FURTI","731"
"Piemonte","Vercelli","16.0 RICETTAZIONE","8"
"Piemonte","Vercelli","17.0 RAPINE","25"
"Piemonte","Vercelli","18.0 ESTORSIONI","13"
"Piemonte","Vercelli","19.0 USURA","0"
"Piemonte","Vercelli","20.0 SEQUESTRI DI PERSONA","1"
"Piemonte","Vercelli","21.0 ASSOCIAZIONE PER DELINQUERE","2"
"Piemonte","Vercelli","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Piemonte","Vercelli","23.0 RICICLAGGIO E IMPIEGO DI DENARO","0"
"Piemonte","Vercelli","24.0 TRUFFE E FRODI INFORMATICHE","200"
"Piemonte","Vercelli","25.0 INCENDI","2"
"Piemonte","Vercelli","26.0 DANNEGGIAMENTI","340"
"Piemonte","Vercelli","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","7"
"Piemonte","Vercelli","28.0 CONTRABBANDO","0"
"Piemonte","Vercelli","29.0 STUPEFACENTI","24"
"Piemonte","Vercelli","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","0"
"Piemonte","Vercelli","31.0 DELITTI INFORMATICI","25"
"Piemonte","Vercelli","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","4"
"Piemonte","Vercelli","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Piemonte","Vercelli","34.0 ALTRI DELITTI","420"
"Valle d'Aosta","Aosta","01.0 ATTENTATI","0"
"Valle d'Aosta","Aosta","02.0 STRAGE","0"
"Valle d'Aosta","Aosta","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Valle d'Aosta","Aosta","04.0 INFANTICIDI","0"
"Valle d'Aosta","Aosta","05.0 TENTATI OMICIDI","1"
"Valle d'Aosta","Aosta","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Valle d'Aosta","Aosta","07.0 OMICIDI COLPOSI","0"
"Valle d'Aosta","Aosta","08.0 LESIONI DOLOSE","39"
"Valle d'Aosta","Aosta","09.0 PERCOSSE","3"
"Valle d'Aosta","Aosta","10.0 MINACCE","37"
"Valle d'Aosta","Aosta","11.0 INGIURIE","0"
"Toscana","Siena","19.0 USURA","1"
"Valle d'Aosta","Aosta","12.0 VIOLENZE SESSUALI","2"
"Valle d'Aosta","Aosta","13.0 ATTI SESSUALI CON MINORENNE","1"
"Valle d'Aosta","Aosta","14.0 CORRUZIONE DI MINORENNE","0"
"Valle d'Aosta","Aosta","15.0 FURTI","405"
"Valle d'Aosta","Aosta","16.0 RICETTAZIONE","1"
"Valle d'Aosta","Aosta","17.0 RAPINE","6"
"Valle d'Aosta","Aosta","18.0 ESTORSIONI","3"
"Valle d'Aosta","Aosta","19.0 USURA","0"
"Valle d'Aosta","Aosta","20.0 SEQUESTRI DI PERSONA","0"
"Valle d'Aosta","Aosta","21.0 ASSOCIAZIONE PER DELINQUERE","0"
"Valle d'Aosta","Aosta","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Valle d'Aosta","Aosta","23.0 RICICLAGGIO E IMPIEGO DI DENARO","0"
"Valle d'Aosta","Aosta","24.0 TRUFFE E FRODI INFORMATICHE","246"
"Valle d'Aosta","Aosta","25.0 INCENDI","2"
"Valle d'Aosta","Aosta","26.0 DANNEGGIAMENTI","160"
"Valle d'Aosta","Aosta","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","2"
"Valle d'Aosta","Aosta","28.0 CONTRABBANDO","0"
"Valle d'Aosta","Aosta","29.0 STUPEFACENTI","11"
"Valle d'Aosta","Aosta","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","1"
"Valle d'Aosta","Aosta","31.0 DELITTI INFORMATICI","68"
"Valle d'Aosta","Aosta","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","1"
"Valle d'Aosta","Aosta","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","0"
"Valle d'Aosta","Aosta","34.0 ALTRI DELITTI","365"
"Lombardia","Bergamo","01.0 ATTENTATI","0"
"Lombardia","Bergamo","02.0 STRAGE","0"
"Lombardia","Bergamo","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Lombardia","Bergamo","04.0 INFANTICIDI","0"
"Lombardia","Bergamo","05.0 TENTATI OMICIDI","0"
"Lombardia","Bergamo","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Lombardia","Bergamo","07.0 OMICIDI COLPOSI","3"
"Lombardia","Bergamo","08.0 LESIONI DOLOSE","228"
"Lombardia","Bergamo","09.0 PERCOSSE","81"
"Lombardia","Bergamo","10.0 MINACCE","242"
"Lombardia","Bergamo","11.0 INGIURIE","0"
"Lombardia","Bergamo","12.0 VIOLENZE SESSUALI","26"
"Lombardia","Bergamo","13.0 ATTI SESSUALI CON MINORENNE","2"
"Lombardia","Bergamo","14.0 CORRUZIONE DI MINORENNE","0"
"Lombardia","Bergamo","15.0 FURTI","5013"
"Lombardia","Bergamo","16.0 RICETTAZIONE","70"
"Lombardia","Bergamo","17.0 RAPINE","118"
"Lombardia","Bergamo","18.0 ESTORSIONI","51"
"Lombardia","Bergamo","19.0 USURA","1"
"Lombardia","Bergamo","20.0 SEQUESTRI DI PERSONA","4"
"Lombardia","Bergamo","21.0 ASSOCIAZIONE PER DELINQUERE","2"
"Lombardia","Bergamo","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Lombardia","Bergamo","23.0 RICICLAGGIO E IMPIEGO DI DENARO","5"
"Lombardia","Bergamo","24.0 TRUFFE E FRODI INFORMATICHE","765"
"Lombardia","Bergamo","25.0 INCENDI","7"
"Lombardia","Bergamo","26.0 DANNEGGIAMENTI","972"
"Lombardia","Bergamo","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","6"
"Lombardia","Bergamo","28.0 CONTRABBANDO","0"
"Lombardia","Bergamo","29.0 STUPEFACENTI","191"
"Lombardia","Bergamo","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","7"
"Lombardia","Bergamo","31.0 DELITTI INFORMATICI","202"
"Lombardia","Bergamo","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","8"
"Lombardia","Bergamo","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","1"
"Lombardia","Bergamo","34.0 ALTRI DELITTI","1866"
"Lombardia","Brescia","01.0 ATTENTATI","0"
"Lombardia","Brescia","02.0 STRAGE","0"
"Lombardia","Brescia","03.0 OMICIDI VOLONTARI CONSUMATI","1"
"Lombardia","Brescia","04.0 INFANTICIDI","0"
"Lombardia","Brescia","05.0 TENTATI OMICIDI","3"
"Lombardia","Brescia","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Lombardia","Brescia","07.0 OMICIDI COLPOSI","7"
"Lombardia","Brescia","08.0 LESIONI DOLOSE","357"
"Lombardia","Brescia","09.0 PERCOSSE","70"
"Lombardia","Brescia","10.0 MINACCE","270"
"Lombardia","Brescia","11.0 INGIURIE","0"
"Lombardia","Brescia","12.0 VIOLENZE SESSUALI","22"
"Lombardia","Brescia","13.0 ATTI SESSUALI CON MINORENNE","2"
"Lombardia","Brescia","14.0 CORRUZIONE DI MINORENNE","0"
"Lombardia","Brescia","15.0 FURTI","5798"
"Lombardia","Brescia","16.0 RICETTAZIONE","70"
"Lombardia","Brescia","17.0 RAPINE","229"
"Lombardia","Brescia","18.0 ESTORSIONI","62"
"Lombardia","Brescia","19.0 USURA","1"
"Lombardia","Brescia","20.0 SEQUESTRI DI PERSONA","5"
"Lombardia","Brescia","21.0 ASSOCIAZIONE PER DELINQUERE","2"
"Lombardia","Brescia","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Lombardia","Brescia","23.0 RICICLAGGIO E IMPIEGO DI DENARO","8"
"Lombardia","Brescia","24.0 TRUFFE E FRODI INFORMATICHE","988"
"Lombardia","Brescia","25.0 INCENDI","8"
"Lombardia","Brescia","26.0 DANNEGGIAMENTI","1521"
"Lombardia","Brescia","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","17"
"Lombardia","Brescia","28.0 CONTRABBANDO","0"
"Lombardia","Brescia","29.0 STUPEFACENTI","248"
"Lombardia","Brescia","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","9"
"Lombardia","Brescia","31.0 DELITTI INFORMATICI","221"
"Lombardia","Brescia","32.0 CONTRAFFAZIONE DI MARCHI E PRODOTTI INDUSTRIALI","12"
"Lombardia","Brescia","33.0 VIOLAZIONE ALLA PROPRIETA' INTELLETTUALE","1"
"Lombardia","Brescia","34.0 ALTRI DELITTI","1906"
"Lombardia","Como","01.0 ATTENTATI","1"
"Lombardia","Como","02.0 STRAGE","0"
"Lombardia","Como","03.0 OMICIDI VOLONTARI CONSUMATI","0"
"Lombardia","Como","04.0 INFANTICIDI","0"
"Lombardia","Como","05.0 TENTATI OMICIDI","0"
"Lombardia","Como","06.0 OMICIDIO PRETERINTENZIONALE","0"
"Lombardia","Como","07.0 OMICIDI COLPOSI","1"
"Lombardia","Como","08.0 LESIONI DOLOSE","132"
"Lombardia","Como","09.0 PERCOSSE","25"
"Lombardia","Como","10.0 MINACCE","108"
"Lombardia","Como","11.0 INGIURIE","0"
"Lombardia","Como","12.0 VIOLENZE SESSUALI","24"
"Lombardia","Como","13.0 ATTI SESSUALI CON MINORENNE","1"
"Lombardia","Como","14.0 CORRUZIONE DI MINORENNE","0"
"Lombardia","Como","15.0 FURTI","1981"
"Lombardia","Como","16.0 RICETTAZIONE","42"
"Lombardia","Como","17.0 RAPINE","86"
"Lombardia","Como","18.0 ESTORSIONI","27"
"Lombardia","Como","19.0 USURA","0"
"Lombardia","Como","20.0 SEQUESTRI DI PERSONA","0"
"Lombardia","Como","21.0 ASSOCIAZIONE PER DELINQUERE","2"
"Lombardia","Como","22.0 ASSOCIAZIONE DI TIPO MAFIOSO","0"
"Lombardia","Como","23.0 RICICLAGGIO E IMPIEGO DI DENARO","4"
"Lombardia","Como","24.0 TRUFFE E FRODI INFORMATICHE","298"
"Lombardia","Como","25.0 INCENDI","8"
"Lombardia","Como","26.0 DANNEGGIAMENTI","489"
"Lombardia","Como","27.0 DANNEGGIAMENTO SEGUITO DA INCENDIO","4"
"Lombardia","Como","28.0 CONTRABBANDO","0"
"Lombardia","Como","29.0 STUPEFACENTI","77"
"Lombardia","Como","30.0 SFRUTTAMENTO DELLA PROSTITUZIONE E PORNOGRAFIA MINORILE","7"
"Lombardia","Como","31.0 DELITTI INFORMATICI","34"
