DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2021,44580,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2022,46430,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2023,45670,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,AT,2024,45140,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2000,35370,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2001,35640,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2002,36080,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2003,36300,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2004,37440,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2005,38100,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2006,38810,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2007,39950,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2008,39810,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2009,38740,b,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2010,39420,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2011,39670,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2012,39510,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2013,39440,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2014,39960,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2015,40310,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2016,40590,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2017,41030,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2018,41610,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2019,42400,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2020,40190,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2021,42530,,
ESTAT:SDG_08_10(1.0),27/10/25 23:00:00,A,CLV20_EUR_HAB,B1GQ,BE,2022,43860,,
