"Anno di Interesse";"Territorio";"Tipo Misura";"Importo"
"2023";"PIEMONTE";"Spesa Complessiva - in rapporto al PIL (%)";"37.56"
"2023";"PIEMONTE";"Spesa Complessiva - per abitante (Euro)";"13799.45"
"2023";"PIEMONTE";"Spesa Complessiva - per Kmq (Euro)";"2310453.84"
"2023";"PIEMONTE";"Spesa Complessiva - Valori Assoluti (mln)";"58668.20"
"2023";"PUGLIA";"Spesa Complessiva - in rapporto al PIL (%)";"49.13"
"2023";"PUGLIA";"Spesa Complessiva - per abitante (Euro)";"11601.79"
"2023";"PUGLIA";"Spesa Complessiva - per Kmq (Euro)";"2314879.85"
"2023";"PUGLIA";"Spesa Complessiva - Valori Assoluti (mln)";"45237.38"
"2023";"SARDEGNA";"Spesa Complessiva - in rapporto al PIL (%)";"58.04"
"2023";"SARDEGNA";"Spesa Complessiva - per abitante (Euro)";"15316.04"
"2023";"SARDEGNA";"Spesa Complessiva - per Kmq (Euro)";"1000441.43"
"2023";"SARDEGNA";"Spesa Complessiva - Valori Assoluti (mln)";"24112.04"
"2023";"SICILIA";"Spesa Complessiva - in rapporto al PIL (%)";"52.84"
"2023";"SICILIA";"Spesa Complessiva - per abitante (Euro)";"12083.71"
"2023";"SICILIA";"Spesa Complessiva - per Kmq (Euro)";"2247807.32"
"2023";"SICILIA";"Spesa Complessiva - Valori Assoluti (mln)";"58070.53"
"2023";"SUD";"Spesa Complessiva - in rapporto al PIL (%)";"48.80"
"2023";"SUD";"Spesa Complessiva - per abitante (Euro)";"11755.51"
"2023";"SUD";"Spesa Complessiva - per Kmq (Euro)";"2140668.49"
"2023";"SUD";"Spesa Complessiva - Valori Assoluti (mln)";"157993.11"
"2023";"TOSCANA";"Spesa Complessiva - in rapporto al PIL (%)";"33.45"
"2023";"TOSCANA";"Spesa Complessiva - per abitante (Euro)";"12630.41"
"2023";"TOSCANA";"Spesa Complessiva - per Kmq (Euro)";"2011613.56"
"2023";"TOSCANA";"Spesa Complessiva - Valori Assoluti (mln)";"46243.17"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - in rapporto al PIL (%)";"35.78"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - per abitante (Euro)";"19046.97"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - per Kmq (Euro)";"1511822.94"
"2023";"TRENTINO-ALTO ADIGE/SÜDTIROL";"Spesa Complessiva - Valori Assoluti (mln)";"20569.26"
"2023";"UMBRIA";"Spesa Complessiva - in rapporto al PIL (%)";"42.88"
"2023";"UMBRIA";"Spesa Complessiva - per abitante (Euro)";"13139.84"
"2023";"UMBRIA";"Spesa Complessiva - per Kmq (Euro)";"1326834.20"
"2023";"UMBRIA";"Spesa Complessiva - Valori Assoluti (mln)";"11231.12"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - in rapporto al PIL (%)";"43.57"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - per abitante (Euro)";"20394.22"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - per Kmq (Euro)";"769193.65"
"2023";"VALLE D'AOSTA/VALLÉE D'AOSTE";"Spesa Complessiva - Valori Assoluti (mln)";"2508.57"
"2023";"VENETO";"Spesa Complessiva - in rapporto al PIL (%)";"29.54"
"2023";"VENETO";"Spesa Complessiva - per abitante (Euro)";"11995.62"
"2023";"VENETO";"Spesa Complessiva - per Kmq (Euro)";"3171429.68"
"2023";"VENETO";"Spesa Complessiva - Valori Assoluti (mln)";"58189.39"
